test2.
Service Registrar: c80e567e-4c46-4a64-8478-22184e4bcd5c
Java Space found.
TransactionManager found.
-------------------------last log tuples start--------------------------------
Time [clock=363, time=2013-06-13 12:31:53.159]
Position [agent=a3, id=null, cell=Cell [x=11, y=6], time=2013-06-13 12:30:25.441, clock=275]
Time [clock=364, time=2013-06-13 12:31:54.16]
Time [clock=365, time=2013-06-13 12:31:55.161]
Time [clock=366, time=2013-06-13 12:31:56.16]
Time [clock=367, time=2013-06-13 12:31:57.162]
Time [clock=368, time=2013-06-13 12:31:58.164]
Time [clock=369, time=2013-06-13 12:31:59.164]
Time [clock=370, time=2013-06-13 12:32:00.165]
Time [clock=371, time=2013-06-13 12:32:01.208]
Time [clock=372, time=2013-06-13 12:32:02.168]
Position [agent=a1, id=null, cell=Cell [x=5, y=6], time=2013-06-13 12:30:25.656, clock=275]
Time [clock=373, time=2013-06-13 12:32:03.168]
Time [clock=374, time=2013-06-13 12:32:04.167]
Time [clock=375, time=2013-06-13 12:32:05.169]
Time [clock=376, time=2013-06-13 12:32:06.171]
Time [clock=377, time=2013-06-13 12:32:07.172]
Time [clock=378, time=2013-06-13 12:32:08.172]
Time [clock=379, time=2013-06-13 12:32:09.172]
Time [clock=380, time=2013-06-13 12:32:10.173]
Time [clock=381, time=2013-06-13 12:32:11.174]
Time [clock=382, time=2013-06-13 12:32:12.174]
Time [clock=383, time=2013-06-13 12:32:13.174]
Time [clock=384, time=2013-06-13 12:32:14.176]
Time [clock=385, time=2013-06-13 12:32:15.177]
Time [clock=386, time=2013-06-13 12:32:16.178]
Time [clock=387, time=2013-06-13 12:32:17.221]
Time [clock=388, time=2013-06-13 12:32:18.179]
Time [clock=389, time=2013-06-13 12:32:19.181]
Time [clock=390, time=2013-06-13 12:32:20.181]
Time [clock=391, time=2013-06-13 12:32:21.183]
Time [clock=392, time=2013-06-13 12:32:22.184]
Time [clock=393, time=2013-06-13 12:32:23.185]
Time [clock=394, time=2013-06-13 12:32:24.185]
Time [clock=395, time=2013-06-13 12:32:25.187]
Position [agent=a2, id=null, cell=Cell [x=3, y=19], time=2013-06-13 12:30:26.094, clock=275]
Time [clock=396, time=2013-06-13 12:32:26.187]
Position [agent=a1, id=null, cell=Cell [x=5, y=7], time=2013-06-13 12:30:26.43, clock=276]
Time [clock=397, time=2013-06-13 12:32:27.188]
Time [clock=398, time=2013-06-13 12:32:28.188]
Time [clock=399, time=2013-06-13 12:32:29.19]
Time [clock=400, time=2013-06-13 12:32:30.19]
Time [clock=401, time=2013-06-13 12:32:31.191]
Time [clock=402, time=2013-06-13 12:32:32.193]
Time [clock=403, time=2013-06-13 12:32:33.235]
Time [clock=404, time=2013-06-13 12:32:34.196]
Time [clock=405, time=2013-06-13 12:32:35.195]
Time [clock=406, time=2013-06-13 12:32:36.196]
Time [clock=407, time=2013-06-13 12:32:37.197]
Time [clock=408, time=2013-06-13 12:32:38.198]
Time [clock=409, time=2013-06-13 12:32:39.199]
Time [clock=410, time=2013-06-13 12:32:40.2]
Time [clock=411, time=2013-06-13 12:32:41.202]
Time [clock=412, time=2013-06-13 12:32:42.202]
Time [clock=413, time=2013-06-13 12:32:43.203]
Time [clock=414, time=2013-06-13 12:32:44.203]
Time [clock=415, time=2013-06-13 12:32:45.206]
Time [clock=416, time=2013-06-13 12:32:46.204]
Time [clock=417, time=2013-06-13 12:32:47.206]
Time [clock=418, time=2013-06-13 12:32:48.25]
Time [clock=419, time=2013-06-13 12:32:49.211]
Time [clock=420, time=2013-06-13 12:32:50.21]
